scorer,,,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel
bodyparts,,,Right ear,Right ear,Left ear,Left ear,Right eye upper,Right eye upper,Right eye down,Right eye down,Left eye upper,Left eye upper,Left eye down,Left eye down,Nose,Nose
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,M1,img006.png,1182.8216185369354,79.50679778151107,428.3647248023735,24.401956943904906,739.4279174804688,324.80303955078125,746.2816162109375,383.81964111328125,466.8201904296875,322.505126953125,453.3591003417969,355.377197265625,508.3585510253906,606.9470825195312
labeled-data,M1,img014.png,1170.404283029687,59.150189205377956,434.9784274041292,23.32405562461622,740.0975952148438,326.758544921875,747.3917846679689,391.58993377505226,466.1324462890625,323.7847595214844,452.3359069824219,355.0685119628906,487.0301041292575,615.1701507027383
labeled-data,M1,img040.png,1152.1553450462143,26.719324497615844,424.75097663463026,22.517694096605737,734.881591796875,323.75347900390625,745.0226440429688,385.4232482910156,468.2709045410156,318.5648193359375,452.6622619628906,356.33587646484375,461.7951461798003,630.1254332846922
labeled-data,M1,img056.png,1141.5367964646343,32.0633354217066,428.9904572242485,28.053500369817357,739.610107421875,324.9833679199219,747.9619140625,385.20318603515625,467.0738220214844,322.8874816894531,452.140869140625,354.4401550292969,477.29556127656707,610.4042685061876
labeled-data,M1,img072.png,1146.4383864292524,41.08894271910685,436.12912757156636,22.848336796800822,735.7511596679688,333.2189010602086,744.050048828125,381.5626220703125,466.7916199379641,312.5564910924737,453.19561767578125,350.79974365234375,477.34255834687957,603.2666853475903
labeled-data,M1,img081.png,1160.8648970457632,35.770070649996796,428.69431464612336,22.376931767504175,735.9170532226562,325.42315673828125,744.3837280273438,381.783203125,473.9840622579382,316.9434021020137,452.2803649902344,354.59820556640625,469.8602294921875,589.8616333007812
labeled-data,M1,img105.png,1165.7614821275688,46.36962966858823,436.1155167317226,27.939215854436725,740.7433258044616,337.51364898381087,746.9425659179688,382.7376403808594,464.02872168417076,323.7541305548002,453.133544921875,353.5178527832031,479.20883337490017,586.9676757139285
labeled-data,M1,img114.png,1221.1575682343494,117.3132819949069,428.1830231422172,27.82060547235642,739.3012481677431,331.33707580446185,744.3280029296875,379.1571044921875,466.9139343910892,322.69710388303804,453.1578674316406,354.3753662109375,484.04095458984375,605.191650390625
labeled-data,M1,img121.png,1207.214028809245,92.53725813617166,433.5754578333978,25.392004398738663,736.1181640625,325.2507019042969,742.7716064453125,379.6659240722656,466.8104553222656,320.2757873535156,453.2952880859375,353.7688903808594,470.2093505859375,594.7503662109375
labeled-data,M1,img130.png,1201.8472899188455,85.62847289017213,425.9762772321737,25.620848087703735,736.2877807617188,325.2447204589844,743.4002685546875,381.2853088378906,466.60028076171875,320.9908142089844,456.0833740234375,351.52764892578125,490.7369689941406,611.7548217773438
labeled-data,M1,img141.png,1189.6254500170658,75.35000456982243,420.7029831659932,17.752872473051866,735.8938598632812,324.70391845703125,745.4567260742188,382.7119140625,461.7021179199219,319.9574890136719,452.1067199707031,356.1573181152344,506.49884033203125,610.1083984375
labeled-data,M1,img180.png,1183.3401121892791,68.21652602548329,433.76509406386657,17.793712621977647,740.3497924804688,323.47845458984375,749.4259033203125,382.9927062988281,474.5460953401951,322.86456298828125,452.9640197753906,354.5204162597656,508.6894226074219,604.7193603515625
labeled-data,M1,img199.png,1188.571963384366,73.04211577647834,443.8318848329466,22.75209579948637,739.0283813476562,324.0416259765625,747.7666015625,383.6356506347656,462.2345275878906,321.3345031738281,452.87054443359375,354.9703674316406,521.546630859375,606.576171875
labeled-data,M1,img207.png,1185.2966551580291,67.9736839222303,441.02375952837184,34.41417083920555,737.168701171875,322.6985168457031,743.141357421875,380.68145751953125,467.21539306640625,322.50018310546875,452.5426025390625,353.6876220703125,500.97869873046875,606.921630859375
labeled-data,M1,img222.png,1199.761637758802,90.37968748857952,445.42925574299016,20.590016179726263,734.727783203125,325.0152893066406,753.7570190429688,376.9664611816406,462.6144104003906,321.4330139160156,451.5377197265625,355.1145935058594,487.37152099609375,608.6320190429688
labeled-data,M1,img237.png,1203.577880859375,94.29723358154297,438.2005585402034,15.8240615910845,737.5546264648438,325.6036376953125,745.2821044921875,376.5403137207031,466.698486328125,320.53607177734375,452.2519226074219,354.04119873046875,528.2207641601562,597.9677124023438
labeled-data,M1,img257.png,1204.558491395295,102.07797926413832,450.21109473104565,20.347962194130332,733.9055786132812,330.49951171875,744.9719848632812,376.9219665527344,468.6393737792969,322.3182373046875,452.3512268066406,354.64703369140625,462.5613114022439,600.7937231594707
labeled-data,M1,img281.png,1215.138404722969,99.76613081503251,445.8353226375212,15.489306647236845,734.6149291992188,327.5543518066406,745.2615966796875,374.29815673828125,467.7596435546875,321.9512939453125,451.26220703125,353.1112060546875,514.4091186523438,598.5922241210938
labeled-data,M1,img320.png,1206.9311918951826,109.06192549036246,449.9847153365144,14.878020483906766,735.843017578125,327.8752746582031,749.1403198242188,375.44146728515625,468.7027587890625,320.1034851074219,452.536865234375,352.4210205078125,499.9744567871094,600.14990234375
labeled-data,M1,img335.png,1221.9208128632556,107.4371345363736,447.831924504596,20.846283727333685,733.5465698242188,330.3978271484375,755.8319702148438,375.0391540527344,469.35601806640625,320.6296691894531,452.336181640625,353.3729553222656,495.38641357421875,606.4829711914062
labeled-data,M1,img427.png,1221.2630615234375,120.18893432617188,455.44508215660125,20.752823644325645,735.4564819335938,327.914794921875,755.5360107421875,371.1401062011719,461.5730285644531,320.1473693847656,448.27799530089396,362.57191772220506,489.95491027230946,591.7983336849346
labeled-data,M1,img454.png,1220.650390625,121.87644958496094,435.72739417312863,29.620674136306206,738.7227783203125,328.6969909667969,749.6058959960938,377.0034484863281,467.99127197265625,320.5383605957031,449.497981473188,350.9795577455943,487.2424621582031,600.2763671875
labeled-data,M1,img510.png,1220.8450927734375,119.86769104003906,438.62774359879717,22.555184941332072,737.8213500976562,329.8890075683594,756.9774169921875,374.1295471191406,468.35888671875,321.23126220703125,451.8575439453125,355.20159912109375,492.6616516113281,607.2890625
labeled-data,M1,img568.png,1224.262507503768,118.94565656705981,430.80480811476076,61.760202784498006,733.62646484375,331.6861267089844,754.7109985351562,375.7396240234375,468.4076843261719,323.18890380859375,455.980224609375,351.8948669433594,494.24945068359375,606.6866455078125
labeled-data,M1,img576.png,1228.59033203125,125.67957305908203,429.1342560523735,69.50335768992136,734.1154174804688,331.04046630859375,756.8212280273438,373.9080505371094,468.16888427734375,323.60333251953125,456.5496520996094,351.2619934082031,522.1844482421875,603.2947387695312
