scorer,,,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel
bodyparts,,,Right ear,Right ear,Left ear,Left ear,Right eye upper,Right eye upper,Right eye down,Right eye down,Left eye upper,Left eye upper,Left eye down,Left eye down,Nose,Nose,Whisker,Whisker
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,part5,img0117.png,1186.646619841967,181.94003511852497,516.5851624231784,136.42642669007887,974.2497805092189,470.19288849868303,962.8713784021074,520.7635645302897,710.0179982440741,460.07875329236174,713.8107989464445,513.1779631255488,821.2734855136089,739.4817383669887,,
labeled-data,part5,img0351.png,1196.7607550482883,184.46856892010533,519.1136962247588,136.42642669007887,978.0425812115895,467.6643546971027,966.6641791044781,522.0278314310799,716.3393327480248,467.6643546971027,713.8107989464445,515.706496927129,828.8590869183497,726.8390693590869,,
labeled-data,part5,img0379.png,1194.2322212467081,184.46856892010533,514.0566286215981,137.69069359086916,975.5140474100092,465.13582089552244,964.1356453028977,520.7635645302897,715.0750658472348,460.07875329236174,712.5465320456544,516.9707638279192,830.12335381914,735.6889376646182,,
labeled-data,part5,img0580.png,1208.1391571554,168.03309920983315,501.4139596136965,155.3904302019314,993.2137840210714,455.02168568920104,990.6852502194911,513.1779631255488,730.2462686567167,457.5502194907814,728.9820017559266,516.9707638279192,860.465759438104,730.6318700614574,,
labeled-data,part5,img0591.png,1225.8388937664622,151.59762949956098,529.2278314310802,199.63977172958744,1062.7484635645308,442.3790166812994,1070.3340649692716,496.7424934152766,809.8950834064972,485.36409130816503,812.4236172080775,538.4633011413521,990.6852502194911,730.6318700614574,,
labeled-data,part5,img0627.png,1227.1031606672523,150.33336259877092,534.2848990342409,189.52563652326603,1065.276997366111,437.3219490781387,1072.862598770852,494.21395961369626,809.8950834064972,485.36409130816503,814.9521510096579,537.1990342405619,985.6281826163304,731.8961369622476,,
labeled-data,part5,img0671.png,1229.6316944688326,144.01202809481993,534.2848990342409,193.31843722563644,1064.0127304653208,441.1147497805092,1075.3911325724323,494.21395961369626,814.9521510096579,489.15689201053556,821.2734855136089,546.0489025460931,986.8924495171207,738.2174714661985,,
labeled-data,part5,img0904.png,1230.895961369623,145.27629499561021,522.9064969271294,184.46856892010533,1056.4271290605798,443.64328358208957,1060.2199297629504,500.535294117647,804.8380158033367,486.6283582089552,806.1022827041268,529.613432835821,969.1927129060582,739.4817383669887,,
labeled-data,part5,img1049.png,1247.331431079895,179.41150131694462,519.1136962247588,181.94003511852497,1041.255926251098,451.2288849868305,1045.0487269534683,508.1208955223881,787.1382791922742,484.09982440737485,793.459613696225,537.1990342405619,937.5860403863041,743.2745390693591,,
labeled-data,part5,img1100.png,1258.7098331870066,202.16830553116756,524.1707638279195,168.03309920983315,1037.4631255487272,452.4931518876207,1038.7273924495175,506.8566286215979,778.2884108867431,481.5712906057946,779.5526777875332,537.1990342405619,941.3788410886746,778.6740122914838,,
labeled-data,part5,img1152.png,1266.2954345917476,186.99710272168568,535.5491659350309,157.91896400351175,1022.2919227392454,457.5502194907814,1015.9705882352946,518.2350307287094,763.117208077261,480.30702370500444,766.9100087796317,534.6705004389815,904.7151009657598,760.9742756804214,,
labeled-data,part5,img1220.png,1280.2023705004394,168.03309920983315,562.0987708516245,162.97603160667245,1056.4271290605798,434.79341527655833,1061.4841966637405,491.6854258121159,792.195346795435,479.04275680421426,804.8380158033367,534.6705004389815,978.0425812115895,743.2745390693591,,
labeled-data,part5,img1235.png,1273.8810359964887,161.7117647058824,546.9275680421424,178.14723441615456,1065.276997366111,437.3219490781387,1067.8055311676912,498.0067603160668,807.3665496049168,484.09982440737485,818.7449517120285,539.7275680421423,1000.7993854258125,747.0673397717296,,
labeled-data,part5,img1261.png,1256.1812993854262,184.46856892010533,608.8766461808607,117.46242317822657,1061.4841966637405,431.0006145741879,1066.5412642669012,492.9496927129061,804.8380158033367,480.30702370500444,816.2164179104482,534.6705004389815,981.83538191396,740.7460052677789,,
labeled-data,part5,img1367.png,1248.5956979806851,165.5045654082528,568.4201053555753,160.4474978050921,1069.0697980684815,434.79341527655833,1070.3340649692716,494.21395961369626,812.4236172080775,489.15689201053556,814.9521510096579,540.9918349429324,988.1567164179107,729.3676031606673,,
labeled-data,part5,img1408.png,1248.5956979806851,169.29736611062322,564.6273046532049,162.97603160667245,1066.5412642669012,438.58621597892886,1071.5983318700619,498.0067603160668,806.1022827041268,489.15689201053556,816.2164179104482,542.2561018437226,972.9855136084288,733.1604038630378,,
labeled-data,part5,img1585.png,1248.5956979806851,165.5045654082528,567.1558384547852,162.97603160667245,1064.0127304653208,441.1147497805092,1074.1268656716422,495.47822651448644,811.1593503072875,491.6854258121159,817.4806848112382,540.9918349429324,993.2137840210714,739.4817383669887,,
labeled-data,part5,img1755.png,1243.5386303775244,162.97603160667245,565.8915715539949,160.4474978050921,1061.4841966637405,438.58621597892886,1074.1268656716422,498.0067603160668,809.8950834064972,489.15689201053556,814.9521510096581,542.2561018437226,998.2708516242321,733.1604038630378,,
labeled-data,part5,img1824.png,1246.0671641791048,162.97603160667245,568.4201053555753,159.18323090430204,1067.8055311676912,439.85048287971904,1066.5412642669012,498.0067603160668,808.6308165057071,487.8926251097454,825.0662862159793,540.9918349429324,993.2137840210714,740.7460052677789,,
labeled-data,part5,img1911.png,1244.8028972783147,160.4474978050921,565.8915715539949,162.97603160667245,1065.276997366111,442.3790166812994,1064.0127304653208,498.0067603160668,809.8950834064972,487.8926251097454,813.6878841088678,539.7275680421423,990.6852502194911,744.5388059701493,,
labeled-data,part5,img1985.png,1247.331431079895,161.7117647058824,567.1558384547852,162.97603160667245,1065.276997366111,442.3790166812994,1070.3340649692716,500.535294117647,803.5737489025464,492.9496927129061,809.8950834064972,546.0489025460931,986.8924495171207,758.4457418788411,,
labeled-data,part5,img1999.png,1259.9741000877966,160.4474978050921,554.5131694468835,180.6757682177349,1064.0127304653208,441.1147497805092,1074.1268656716422,499.27102721685696,811.1593503072875,489.15689201053556,814.9521510096579,543.5203687445128,985.6281826163304,763.5028094820018,,
labeled-data,part5,img2011.png,1261.238366988587,165.5045654082528,554.5131694468835,178.14723441615456,1065.276997366111,438.58621597892886,1070.3340649692716,499.27102721685696,803.5737489025464,486.6283582089552,814.9521510096579,539.7275680421423,997.0065847234421,755.9172080772609,,
labeled-data,part5,img2047.png,1272.6167690956984,251.4747146619842,572.2129060579457,170.5616330114135,1064.0127304653208,434.79341527655833,1070.3340649692716,496.7424934152766,809.8950834064972,491.6854258121159,816.2164179104482,537.1990342405619,1009.6492537313436,749.59587357331,,
labeled-data,part5,img2061.png,1280.2023705004394,237.56777875329226,641.747585601405,99.76268656716411,1053.8985952589994,431.0006145741879,1062.7484635645308,485.36409130816503,803.5737489025464,482.8355575065848,804.8380158033367,532.1419666374012,985.6281826163304,734.424670763828,,
