scorer,,,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel,Homelabel
bodyparts,,,Right ear,Right ear,Left ear,Left ear,Right eye upper,Right eye upper,Right eye down,Right eye down,Left eye upper,Left eye upper,Left eye down,Left eye down,Nose,Nose
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,20221112_163644,img0041.png,711.5641888245243,259.95125031482746,547.9829764829767,226.3585468585468,649.0710775710777,250.57757107757106,649.0710775710777,264.26658476658474,586.9440154440156,255.8425763425763,584.8380133380135,267.4255879255878,620.6400491400493,312.7046332046331
labeled-data,20221112_163644,img0189.png,715.4101439101441,255.8425763425763,549.0359775359777,224.25254475254474,649.0710775710777,247.41856791856787,650.1240786240787,262.1605826605826,587.9970164970166,252.68357318357312,583.7850122850125,265.31958581958577,621.6930501930503,315.8636363636363
labeled-data,20221112_163644,img0391.png,711.1981396981398,254.78957528957528,542.7179712179714,210.56353106353106,649.0710775710777,248.4715689715689,650.1240786240787,260.0545805545805,587.9970164970166,251.6305721305721,586.9440154440156,263.2135837135836,622.7460512460514,308.49262899262897
labeled-data,20221112_163644,img0525.png,708.0391365391367,253.73657423657414,545.8769743769745,204.24552474552468,648.0180765180767,247.41856791856787,652.230080730081,259.0015795015795,589.0500175500176,253.73657423657414,583.7850122850125,265.31958581958577,625.9050544050547,311.6516321516321
labeled-data,20221112_163644,img1241.png,711.1981396981398,251.6305721305721,537.4529659529661,213.72253422253414,648.0180765180767,245.3125658125657,650.124078624079,257.9485784485785,585.8910143910146,250.57757107757106,583.7850122850125,262.1605826605826,620.6400491400493,310.598631098631
labeled-data,20221112_163644,img1996.png,720.6751491751493,248.4715689715689,540.6119691119693,207.40452790452787,651.1770796770797,244.25956475956468,652.230080730081,256.89557739557733,586.9440154440156,248.4715689715689,586.9440154440156,259.0015795015795,619.5870480870483,302.1746226746226
labeled-data,20221112_163644,img2138.png,720.6751491751493,246.36556686556685,561.6719901719904,208.4575289575289,648.0180765180767,244.25956475956468,649.0710775710777,257.94857844857836,585.8910143910146,247.41856791856787,584.8380133380136,259.0015795015794,621.6930501930503,303.2276237276236
labeled-data,20221112_163644,img2558.png,718.5691470691472,249.52457002456993,554.300982800983,207.40452790452787,650.124078624079,244.25956475956468,649.0710775710777,256.89557739557733,586.9440154440156,247.41856791856787,586.9440154440156,261.10758160758155,619.8336259877087,306.8179982440737
labeled-data,20221112_163644,img3370.png,721.8178226514488,247.8188762071993,545.6633011413521,209.0480245829675,650.1760316066727,241.91896400351186,650.1760316066727,255.40447761194025,585.2769973661107,246.1331870061457,585.2769973661107,262.14723441615445,616.4622475856015,307.66084284460055
labeled-data,20221112_163644,img3645.png,724.3463564530291,247.8188762071993,542.2919227392451,206.51949078138716,649.3331870061459,241.91896400351186,650.1760316066727,256.247322212467,584.434152765584,247.8188762071993,585.2769973661107,259.6187006145741,624.8906935908692,306.8179982440737
labeled-data,20221112_163644,img4021.png,721.8178226514488,249.5045654082528,538.0776997366111,204.83380158033356,649.3331870061459,241.076119402985,648.490342405619,255.40447761194025,586.9626865671644,246.1331870061457,584.434152765584,259.6187006145741,622.3621597892889,301.7609306409131
labeled-data,20221112_163644,img4404.png,724.3463564530291,248.66172080772594,538.9205443371379,208.20517998244065,651.0188762071994,241.076119402985,650.1760316066727,255.40447761194025,585.2769973661107,246.97603160667245,584.434152765584,258.77585601404735,620.6764705882354,305.97515364354695
labeled-data,20221112_163644,img4911.png,724.3463564530291,244.4474978050921,536.3920105355576,210.733713784021,650.1760316066727,240.23327480245825,650.1760316066727,253.71878841088676,587.805531167691,245.29034240561896,585.2769973661107,257.9330114135206,621.5193151887622,306.8179982440737
labeled-data,20221112_163644,img5406.png,723.5035118525022,245.29034240561896,535.5491659350307,207.3623353819139,651.0188762071994,241.076119402985,650.1760316066727,253.71878841088676,585.2769973661107,243.60465320456535,583.5913081650572,257.09016681299386,620.6764705882354,302.60377524143985
labeled-data,20221112_163644,img6249.png,726.0320456540826,246.97603160667245,535.5491659350307,203.14811237928006,651.0188762071994,241.076119402985,651.8617208077262,255.40447761194025,586.1198419666375,244.4474978050921,586.1198419666375,257.09016681299386,623.2050043898157,302.60377524143985
labeled-data,20221112_163644,img6600.png,726.0320456540826,244.4474978050921,538.9205443371379,212.4194029850746,651.0188762071994,238.54758560140465,651.0188762071994,252.03309920983315,586.9626865671644,242.7618086040386,586.1198419666375,257.09016681299386,621.5193151887622,303.4466198419666
labeled-data,20221112_163644,img6624.png,723.5035118525022,245.29034240561896,539.7633889376648,209.89086918349426,651.0188762071994,239.3904302019315,651.0188762071994,255.40447761194025,586.1198419666375,246.97603160667245,584.434152765584,257.09016681299386,620.6764705882354,303.4466198419666
labeled-data,20221112_163644,img6753.png,726.8748902546095,244.4474978050921,538.9205443371379,207.3623353819139,649.3331870061459,239.3904302019315,651.0188762071994,254.5616330114135,585.2769973661107,245.29034240561896,583.5913081650572,256.247322212467,623.2050043898157,304.28946444249334
labeled-data,20221112_163644,img7258.png,726.0320456540826,244.4474978050921,531.3349429323969,212.4194029850746,650.1760316066727,240.23327480245825,651.0188762071994,254.5616330114135,586.9626865671644,243.60465320456535,585.2769973661107,256.247322212467,622.3621597892889,302.60377524143985
labeled-data,20221112_163644,img7313.png,726.8748902546095,241.91896400351186,532.1777875329237,210.733713784021,650.1760316066725,241.076119402985,651.0188762071994,254.5616330114135,587.805531167691,245.29034240561896,585.2769973661107,257.09016681299386,618.147936786655,302.60377524143985
labeled-data,20221112_163644,img7411.png,724.3463564530291,242.7618086040386,535.5491659350307,203.9909569798068,650.1760316066725,240.23327480245825,651.8617208077262,252.8759438103599,586.1198419666375,243.60465320456535,585.2769973661107,257.09016681299386,618.9907813871819,302.60377524143985
labeled-data,20221112_163644,img7640.png,726.8748902546095,241.91896400351186,536.3920105355576,204.83380158033356,650.1760316066727,240.23327480245825,651.0188762071994,252.03309920983315,586.9626865671644,243.60465320456535,586.1198419666373,255.40447761194025,621.5193151887622,302.60377524143985
labeled-data,20221112_163644,img8345.png,720.9749780509219,243.60465320456535,536.3920105355576,206.51949078138716,651.8617208077262,240.23327480245825,651.8617208077262,251.1902546093064,585.2769973661107,245.29034240561896,583.5913081650572,256.247322212467,618.9907813871819,304.28946444249334
labeled-data,20221112_163644,img8722.png,726.8748902546095,242.7618086040386,533.0206321334506,203.9909569798068,650.1760316066727,238.54758560140465,651.8617208077262,251.1902546093064,586.9626865671644,244.4474978050921,585.2769973661107,255.40447761194025,619.8336259877087,303.4466198419666
labeled-data,20221112_163644,img8901.png,724.3463564530291,242.7618086040386,533.8634767339772,206.51949078138716,651.0188762071994,238.54758560140465,652.7045654082531,252.03309920983315,587.805531167691,243.60465320456535,585.2769973661107,256.247322212467,619.8336259877087,304.28946444249334
labeled-data,20221112_165340,img0332.png,668.7186128182618,196.40535557506576,472.33582089552243,211.57655838454775,608.8766461808605,240.23327480245825,610.562335381914,254.5616330114135,537.2348551360844,242.7618086040386,535.5491659350307,256.2473222124671,572.6343283582091,301.7609306409131
labeled-data,20221112_165340,img0446.png,667.875768217735,196.40535557506576,475.70719929762953,214.1050921861281,608.8766461808605,241.91896400351186,610.562335381914,256.247322212467,534.7063213345041,242.7618086040386,535.5491659350307,258.77585601404735,574.3200175592626,305.97515364354695
labeled-data,20221112_165340,img0601.png,669.5614574187885,203.14811237928006,477.39288849868313,209.0480245829675,608.0338015803338,243.60465320456535,611.4051799824408,257.09016681299386,537.2348551360844,243.60465320456535,534.7063213345041,258.77585601404735,574.3200175592626,304.28946444249334
labeled-data,20221112_165340,img0670.png,672.0899912203688,203.9909569798068,476.5500438981563,214.94793678665485,608.8766461808605,241.076119402985,608.8766461808605,256.247322212467,535.5491659350307,241.076119402985,535.5491659350307,255.40447761194025,570.9486391571554,305.97515364354695
labeled-data,20221112_165340,img0909.png,669.5614574187885,208.20517998244065,476.5500438981564,209.89086918349426,610.562335381914,240.23327480245825,610.562335381914,256.247322212467,533.8634767339772,241.91896400351186,533.0206321334506,256.247322212467,576.0057067603161,304.28946444249334
labeled-data,20221112_165340,img1094.png,671.2471466198422,211.57655838454775,474.02151009657604,206.51949078138716,608.8766461808605,240.23327480245825,609.7194907813873,254.5616330114135,533.8634767339772,241.91896400351186,533.8634767339772,255.40447761194025,575.1628621597895,303.4466198419666
labeled-data,20221112_165340,img1236.png,665.3472344161546,211.57655838454775,475.70719929762953,210.73371378402112,608.0338015803338,240.23327480245825,610.562335381914,256.247322212467,536.3920105355576,243.60465320456535,533.0206321334506,256.247322212467,574.3200175592626,300.91808604038624
labeled-data,20221112_165340,img1840.png,664.5043898156277,208.20517998244065,469.8072870939422,201.46242317822646,610.562335381914,239.3904302019315,610.562335381914,252.8759438103599,535.5491659350307,241.076119402985,535.5491659350309,254.5616330114135,576.848551360843,301.7609306409131
labeled-data,20221112_165340,img2328.png,663.6615452151011,213.26224758560136,475.70719929762953,193.87682177348552,610.562335381914,241.076119402985,610.562335381914,254.5616330114135,534.7063213345041,239.3904302019315,533.8634767339772,252.03309920983315,571.7914837576823,291.6467954345917
labeled-data,20221112_165340,img2764.png,672.9328358208957,209.0480245829675,481.607111501317,209.89086918349426,608.0338015803338,241.076119402985,608.8766461808605,255.40447761194025,535.5491659350307,240.23327480245825,535.5491659350307,252.87594381036,570.9486391571554,295.0181738366988
labeled-data,20221112_165340,img3108.png,668.7186128182618,193.03397717295866,472.33582089552243,212.4194029850746,608.8766461808605,239.3904302019315,609.7194907813873,252.8759438103599,537.2348551360844,241.076119402985,534.7063213345041,254.5616330114135,572.6343283582091,297.54670763827914
labeled-data,20221112_165340,img3570.png,670.4043020193153,199.77673397717297,463.0645302897279,214.1050921861281,609.7194907813873,238.54758560140465,610.562335381914,253.71878841088676,536.3920105355576,241.076119402985,535.5491659350307,254.5616330114135,574.3200175592626,300.0752414398595
labeled-data,20221112_165340,img3861.png,676.3042142230026,203.14811237928006,484.13564530289733,201.46242317822646,608.0338015803338,240.23327480245825,610.562335381914,254.5616330114135,536.3920105355576,237.7047410008779,535.5491659350307,251.1902546093064,570.9486391571554,295.0181738366988
labeled-data,20221112_165340,img4182.png,674.6185250219492,199.77673397717297,468.96444249341533,211.57655838454775,610.562335381914,240.23327480245825,608.8766461808605,253.71878841088676,538.0776997366111,240.23327480245825,535.5491659350307,253.71878841088676,572.6343283582091,301.7609306409131
labeled-data,20221112_165340,img4596.png,672.9328358208957,204.83380158033356,473.1786654960493,209.89086918349426,608.8766461808605,237.7047410008779,610.562335381914,253.71878841088676,534.7063213345041,239.3904302019315,533.0206321334506,255.40447761194025,572.6343283582091,300.91808604038624
labeled-data,20221112_165340,img4990.png,672.9328358208957,194.71966637401226,476.5500438981564,209.89086918349426,608.0338015803338,236.86189640035116,609.7194907813873,251.1902546093064,535.5491659350307,238.54758560140465,533.0206321334506,252.03309920983315,574.3200175592626,300.91808604038624
labeled-data,20221112_165340,img5263.png,672.0899912203688,193.87682177348552,475.70719929762953,209.89086918349426,608.8766461808605,236.86189640035116,609.7194907813873,252.03309920983315,533.0206321334506,239.3904302019315,533.0206321334506,254.5616330114135,575.1628621597895,295.86101843722565
labeled-data,20221112_165340,img6028.png,668.7186128182618,187.97690956979807,484.13564530289733,206.51949078138716,609.7194907813873,238.54758560140465,609.7194907813873,252.8759438103599,533.8634767339772,239.3904302019315,533.0206321334506,252.03309920983315,574.3200175592626,300.0752414398595
labeled-data,20221112_165340,img6349.png,672.0899912203688,186.29122036874446,475.70719929762953,203.9909569798068,608.0338015803338,239.3904302019315,608.0338015803338,252.8759438103599,534.7063213345041,239.3904302019315,535.5491659350307,253.71878841088676,575.1628621597895,296.7038630377524
labeled-data,20221112_165340,img7081.png,672.9328358208957,185.44837576821772,482.44995610184384,205.67664618086042,608.8766461808605,236.86189640035116,612.2480245829677,251.1902546093064,534.7063213345041,238.54758560140465,533.8634767339772,250.34741000877955,576.0057067603161,298.3895522388059
labeled-data,20221112_165340,img7713.png,671.2471466198419,187.13406496927132,483.2928007023706,205.6766461808603,611.4051799824408,238.54758560140465,613.0908691834943,252.03309920983315,535.5491659350307,239.3904302019315,534.7063213345041,252.03309920983315,572.6343283582091,300.91808604038624
labeled-data,20221112_165340,img7919.png,674.6185250219492,189.66259877085156,476.5500438981564,205.6766461808603,609.7194907813873,237.7047410008779,610.562335381914,252.03309920983315,536.3920105355576,237.7047410008779,533.8634767339772,251.1902546093064,576.848551360843,298.3895522388059
labeled-data,20221112_165340,img8077.png,675.4613696224758,189.66259877085156,478.2357330992099,205.6766461808603,609.7194907813873,239.3904302019315,612.2480245829677,251.1902546093064,534.7063213345041,238.54758560140465,532.1777875329237,249.5045654082528,572.6343283582091,300.91808604038624
labeled-data,20221112_165340,img8359.png,670.4043020193153,198.09104477611936,468.1215978928886,209.0480245829675,607.190956979807,236.86189640035116,607.190956979807,249.5045654082528,535.5491659350307,240.23327480245825,533.0206321334506,252.03309920983315,575.1628621597895,299.23239683933275
labeled-data,20221112_165340,img8933.png,672.9328358208957,198.9338893766461,474.02151009657604,208.20517998244065,608.8766461808605,236.0190517998244,609.7194907813873,250.34741000877955,535.5491659350307,239.3904302019315,534.7063213345041,252.03309920983315,572.6343283582091,300.0752414398595
labeled-data,20221112_170312,img0111.png,712.5465320456542,217.4764705882352,522.0636523266023,213.26224758560136,649.3331870061459,257.9330114135206,650.1760316066727,274.7899034240562,575.1628621597895,256.247322212467,574.3200175592626,273.1042142230026,613.0908691834943,319.46066725197534
labeled-data,20221112_170312,img0616.png,707.4894644424935,221.69069359086916,514.4780509218613,214.1050921861281,651.0188762071994,259.6187006145741,651.8617208077262,274.7899034240562,575.1628621597895,258.77585601404735,576.0057067603161,273.94705882352935,614.776558384548,322.83204565408255
labeled-data,20221112_170312,img0774.png,700.7467076382793,220.8478489903424,523.749341527656,211.57655838454775,649.3331870061459,258.77585601404735,649.3331870061459,273.1042142230026,574.3200175592626,259.6187006145741,574.3200175592626,273.1042142230026,616.4622475856015,324.51773485513604
labeled-data,20221112_170312,img1335.png,706.6466198419669,212.4194029850746,526.2778753292362,213.26224758560136,647.6474978050924,257.9330114135206,650.1760316066727,273.1042142230026,575.1628621597895,257.9330114135206,574.3200175592626,271.418525021949,611.4051799824408,318.6178226514486
labeled-data,20221112_170312,img1371.png,699.9038630377524,217.4764705882352,524.5921861281827,213.26224758560136,648.490342405619,258.77585601404735,651.0188762071994,273.1042142230026,575.1628621597895,260.46154521510095,571.7914837576823,273.94705882352935,613.9337137840212,321.14635645302894
labeled-data,20221112_170312,img1644.png,703.2752414398597,217.4764705882352,524.5921861281827,215.7907813871817,649.3331870061459,257.9330114135206,651.8617208077262,273.1042142230026,575.1628621597895,257.09016681299374,575.1628621597893,273.1042142230026,618.147936786655,318.6178226514486
labeled-data,20221112_170312,img1656.png,703.2752414398597,220.00500438981555,523.749341527656,216.63362598770846,647.6474978050924,259.6187006145741,651.0188762071994,272.26136962247585,575.1628621597895,259.6187006145742,574.3200175592626,272.26136962247585,615.6194029850747,325.3605794556628
labeled-data,20221112_170312,img1923.png,709.175153643547,209.89086918349426,522.0636523266023,218.31931518876206,649.3331870061459,257.9330114135206,651.0188762071994,273.1042142230026,576.0057067603161,261.3043898156277,572.6343283582091,273.94705882352935,611.4051799824408,322.83204565408255
labeled-data,20221112_170312,img2342.png,710.0179982440739,214.94793678665496,523.749341527656,214.94793678665496,651.0188762071994,258.77585601404735,652.7045654082531,273.1042142230026,576.0057067603161,258.77585601404735,573.4771729587358,272.26136962247585,613.0908691834943,321.9892010535557
labeled-data,20221112_170312,img3606.png,710.0179982440739,208.20517998244065,527.9635645302899,212.4194029850746,650.1760316066727,257.9330114135206,652.7045654082531,272.26136962247585,575.1628621597895,259.6187006145741,574.3200175592626,272.26136962247585,616.4622475856015,317.77497805092185
labeled-data,20221112_170312,img4353.png,720.9749780509219,204.83380158033356,515.3208955223881,213.26224758560147,651.0188762071994,258.77585601404735,651.8617208077262,273.1042142230026,576.848551360843,257.9330114135206,575.1628621597895,271.418525021949,613.9337137840212,316.08928884986824
labeled-data,20221112_170312,img4463.png,719.2892888498684,204.83380158033356,515.3208955223881,213.26224758560136,651.0188762071994,257.09016681299386,652.7045654082531,273.1042142230026,574.3200175592626,257.9330114135206,574.3200175592626,273.1042142230026,614.776558384548,321.14635645302894
labeled-data,20221112_170312,img5065.png,710.8608428446007,214.1050921861281,521.2208077260757,211.57655838454775,651.0188762071994,257.9330114135206,651.0188762071994,272.26136962247585,576.0057067603161,257.09016681299386,574.3200175592626,273.1042142230026,614.776558384548,317.77497805092185
labeled-data,20221112_170312,img5676.png,709.175153643547,214.94793678665496,519.535118525022,210.733713784021,651.8617208077262,257.09016681299374,653.5474100087797,273.1042142230026,577.6913959613698,258.77585601404735,574.3200175592626,273.1042142230026,611.4051799824408,324.51773485513604
labeled-data,20221112_170312,img5713.png,709.175153643547,214.1050921861281,518.6922739244953,211.57655838454775,649.3331870061459,257.09016681299386,651.8617208077262,273.94705882352935,575.1628621597895,256.247322212467,574.3200175592629,271.4185250219491,612.2480245829677,319.46066725197534
labeled-data,20221112_170312,img5924.png,709.175153643547,212.4194029850746,520.3779631255488,211.57655838454775,651.8617208077262,257.9330114135206,653.5474100087797,275.63274802458295,573.4771729587358,257.9330114135206,574.3200175592626,273.94705882352935,612.2480245829677,322.83204565408255
labeled-data,20221112_170312,img6292.png,713.3893766461811,210.733713784021,520.3779631255488,216.63362598770846,651.0188762071994,257.9330114135206,652.7045654082531,273.94705882352935,576.848551360843,256.247322212467,574.3200175592626,270.57568042142225,611.4051799824408,323.6748902546093
labeled-data,20221112_170312,img6474.png,713.3893766461811,207.3623353819139,522.9064969271292,214.1050921861281,651.0188762071994,258.77585601404735,652.7045654082531,272.26136962247585,575.1628621597895,258.77585601404735,574.3200175592626,272.26136962247585,609.7194907813873,323.6748902546093
labeled-data,20221112_170312,img6832.png,720.1321334503953,214.94793678665496,524.5921861281827,212.4194029850746,650.1760316066727,257.9330114135206,652.7045654082531,273.94705882352935,577.6913959613698,260.46154521510095,572.6343283582091,273.1042142230026,613.9337137840212,321.9892010535557
labeled-data,20221112_170312,img7043.png,720.9749780509219,214.1050921861281,523.749341527656,213.26224758560136,649.3331870061459,257.09016681299386,651.8617208077262,272.26136962247585,577.6913959613698,257.09016681299386,576.0057067603161,268.0471466198419,609.7194907813873,319.46066725197534
labeled-data,20221112_170312,img7475.png,722.6606672519756,220.00500438981555,523.749341527656,210.733713784021,652.7045654082531,257.9330114135206,651.8617208077262,273.1042142230026,575.1628621597895,257.09016681299386,572.6343283582091,272.26136962247585,613.0908691834943,319.46066725197534
labeled-data,20221112_170312,img8491.png,712.5465320456542,209.89086918349426,512.7923617208078,220.00500438981555,651.0188762071994,257.9330114135206,652.7045654082528,272.26136962247585,578.5342405618965,257.9330114135206,576.8485513608432,273.1042142230027,610.562335381914,319.46066725197534
